STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
E2F4,148.909300000000002,-32.899799999999999,BC,,760,nan,631,nan,nan,nan
E2E7,148.933899999999994,-32.429600000000001,B,,1100,nan,689,nan,nan,nan
E2D1,145.658299999999997,-32.075400000000002,D,,270,nan,278,nan,nan,nan
E2E6,148.411300000000011,-32.419699999999999,BC,,760,nan,388,nan,nan,nan
E2E1,145.652299999999997,-32.512400000000000,D,,270,nan,402,nan,nan,nan
MUR05,146.270000000000010,-34.359999999999999,B,,1100,nan,797,nan,nan,nan
E2E2,146.201400000000007,-32.519900000000000,D,,270,nan,437,nan,nan,nan
E2F5,149.990700000000004,-32.848500000000001,B,,1100,nan,833,nan,nan,nan
E2E3,146.767500000000013,-32.441699999999997,D,,270,nan,718,nan,nan,nan
SOC01,146.433099999999996,-33.435699999999997,D,,270,nan,266,nan,nan,nan
S2C8,145.639499999999998,-33.890900000000002,D,,270,nan,257,nan,nan,nan
E2E5,147.856300000000005,-32.467300000000002,B,,1100,nan,320,nan,nan,nan
SOC03,148.847900000000010,-33.254700000000000,CD,,360,nan,894,nan,nan,nan
E2D2,146.208400000000012,-32.052399999999999,D,,270,nan,344,nan,nan,nan
E2E9,150.041599999999988,-32.448799999999999,B,,1100,nan,900,nan,nan,nan
E2C0,144.973399999999998,-31.669599999999999,D,,270,nan,460,nan,nan,nan
E2B3,146.733399999999989,-31.047499999999999,D,,270,nan,290,nan,nan,nan
E2B7,148.909300000000002,-31.034300000000002,BC,,760,nan,708,nan,nan,nan
E2B1,145.606899999999996,-31.173100000000002,D,,270,nan,299,nan,nan,nan
E2C8,149.464799999999997,-31.460699999999999,B,,1100,nan,626,nan,nan,nan
E2C2,146.214400000000012,-31.536000000000001,B,,1100,nan,329,nan,nan,nan
E2C1,145.597600000000000,-31.596800000000002,B,,1100,nan,250,nan,nan,nan
E2C7,148.930200000000013,-31.510300000000001,B,,1100,nan,944,nan,nan,nan
S2B9,145.628500000000003,-33.463400000000000,CD,,360,nan,237,nan,nan,nan
SOC04,149.034529999999990,-34.284669999999998,BC,,760,nan,537,nan,nan,nan
SOC05,147.729849999999999,-34.811399999999999,CD,,360,nan,497,nan,nan,nan
SB09,146.857499999999987,-32.289200000000001,D,,270,nan,441,nan,nan,nan
E2D6,148.393900000000002,-31.971599999999999,B,,1100,nan,286,nan,nan,nan
E2D3,146.771999999999991,-31.954899999999999,D,,270,nan,326,nan,nan,nan
E2D8,149.498600000000010,-31.932500000000001,B,,1100,nan,905,nan,nan,nan
E2D4,147.283999999999992,-31.976099999999999,CD,,360,nan,234,nan,nan,nan
E2D7,148.948599999999999,-31.956099999999999,BC,,760,nan,571,nan,nan,nan
E2C4,147.245200000000011,-31.476700000000001,CD,,360,nan,233,nan,nan,nan
E2D5,147.873700000000014,-31.974299999999999,CD,,360,nan,232,nan,nan,nan
E2A9,150.012900000000002,-30.543700000000001,D,,270,nan,237,nan,nan,nan
AQTK5,144.347299999999990,-27.319900000000001,CD,,360,nan,281,nan,nan,nan
E2A3,146.735399999999998,-30.623000000000001,CD,,360,nan,281,nan,nan,nan
TL11,145.626000000000005,-27.646500000000000,B,,1100,nan,507,nan,nan,nan
E2A0,145.010600000000011,-30.685600000000001,CD,,360,nan,237,nan,nan,nan
AQTJ6,145.098999999999990,-27.150500000000001,CD,,360,nan,229,nan,nan,nan
CEYO,118.345799999999997,-26.263900000000000,D,,270,nan,266,nan,nan,nan
WR05,117.982399999999998,-26.323699999999999,BC,,760,nan,290,nan,nan,nan
CLPA,119.740899999999996,-26.365800000000000,D,,270,nan,226,nan,nan,nan
CEKI,118.739699999999999,-26.181300000000000,D,,270,nan,251,nan,nan,nan
CEYN,118.032399999999996,-25.334599999999998,D,,270,nan,273,nan,nan,nan
CEKU,119.592100000000002,-24.806200000000000,B,,1100,nan,367,nan,nan,nan
CWIN,116.525999999999996,-25.701000000000001,D,,270,nan,253,nan,nan,nan
HPS25,116.255799999999994,-24.500399999999999,D,,270,nan,236,nan,nan,nan
CWR3,117.547899999999998,-23.207200000000000,B,,1100,nan,505,nan,nan,nan
CWG1,117.442499999999995,-24.440899999999999,D,,270,nan,332,nan,nan,nan
HPS02,116.617699999999999,-23.832200000000000,BC,,760,nan,529,nan,nan,nan
CCMU,118.538100000000000,-24.710500000000000,D,,270,nan,289,nan,nan,nan
CWMP,116.433099999999996,-24.205200000000001,D,,270,nan,428,nan,nan,nan
HPS26,116.376199999999997,-24.166000000000000,D,,270,nan,353,nan,nan,nan
CWMD,116.064899999999994,-25.018200000000000,D,,270,nan,330,nan,nan,nan
CWJJ,115.130600000000001,-25.030999999999999,D,,270,nan,234,nan,nan,nan
HPS04,116.507400000000004,-23.927399999999999,D,,270,nan,341,nan,nan,nan
HPS05,116.474299999999999,-23.991000000000000,D,,270,nan,263,nan,nan,nan
HPS06,116.463200000000001,-24.028800000000000,D,,270,nan,270,nan,nan,nan
CEB2,119.683400000000006,-24.050000000000001,D,,270,nan,290,nan,nan,nan
WR02,119.967200000000005,-23.943600000000000,D,,270,nan,278,nan,nan,nan
CEEN,120.147999999999996,-22.916200000000000,CD,,360,nan,229,nan,nan,nan
CEES,120.000000000000000,-23.181000000000001,CD,,360,nan,230,nan,nan,nan
CP10,116.908600000000007,-24.861799999999999,B,,1100,nan,353,nan,nan,nan
CWMJ,116.893299999999996,-24.826699999999999,B,,1100,nan,332,nan,nan,nan
CCVC,118.023899999999998,-24.179200000000002,B,,1100,nan,426,nan,nan,nan
CCJS,118.784099999999995,-22.935800000000000,D,,270,nan,924,nan,nan,nan
CEJC,118.760300000000001,-22.752700000000001,D,,270,nan,438,nan,nan,nan
CCMI,118.292900000000003,-25.106700000000000,D,,270,nan,461,nan,nan,nan
WS07,119.158500000000004,-23.531199999999998,D,,270,nan,270,nan,nan,nan
CWWY,116.286500000000004,-22.780100000000001,D,,270,nan,330,nan,nan,nan
CCJN,118.767700000000005,-22.575199999999999,BC,,760,nan,271,nan,nan,nan
HPS28,116.531099999999995,-24.218599999999999,B,,1100,nan,366,nan,nan,nan
CLDD,117.159800000000004,-24.032000000000000,D,,270,nan,359,nan,nan,nan
CWWI,115.147800000000004,-23.852300000000000,BC,,760,nan,329,nan,nan,nan
LP05,115.890100000000004,-21.560800000000000,D,,270,nan,237,nan,nan,nan
LP03,114.547600000000003,-23.153099999999998,B,,1100,nan,240,nan,nan,nan
CP09,116.955200000000005,-24.293900000000001,BC,,760,nan,361,nan,nan,nan
CWDC,115.619399999999999,-25.302499999999998,D,,270,nan,236,nan,nan,nan
CWYI,116.161500000000004,-24.649799999999999,D,,270,nan,235,nan,nan,nan
CEB3,119.667000000000002,-23.800000000000001,D,,270,nan,309,nan,nan,nan
CETE,119.113100000000003,-23.926100000000002,D,,270,nan,263,nan,nan,nan
HPS15,116.287099999999995,-24.314599999999999,B,,1100,nan,351,nan,nan,nan
HPS16,116.291200000000003,-24.333400000000001,B,,1100,nan,279,nan,nan,nan
HPS17,116.298000000000002,-24.351299999999998,B,,1100,nan,323,nan,nan,nan
HPS18,116.299899999999994,-24.370600000000000,B,,1100,nan,315,nan,nan,nan
HPS19,116.301000000000002,-24.387200000000000,B,,1100,nan,277,nan,nan,nan
CWMC,115.663899999999998,-24.011800000000001,C,,560,nan,251,nan,nan,nan
CWG2,116.884100000000004,-24.384699999999999,D,,270,nan,343,nan,nan,nan
CWWB,117.387600000000006,-24.771599999999999,D,,270,nan,290,nan,nan,nan
HPS29,116.610200000000006,-24.213300000000000,D,,270,nan,282,nan,nan,nan
CP08,117.665099999999995,-23.989200000000000,C,,560,nan,364,nan,nan,nan
WS04,118.792400000000001,-25.535299999999999,D,,270,nan,247,nan,nan,nan
CP07,117.615700000000004,-23.673500000000001,D,,270,nan,308,nan,nan,nan
