,PAZ_FILE,SAMPLING_RATE,PAZ_CRN_FREQ,REV_CHA
295,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
296,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
297,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
298,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
299,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
300,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
301,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
302,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
303,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
304,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
305,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
306,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
307,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
308,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
309,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
310,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
311,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
312,../inputs/paz/cmg-5t.paz,100.0,0.0,HNE
313,../inputs/paz/cmg-5t.paz,100.0,0.0,HNN
314,../inputs/paz/cmg-5t.paz,100.0,0.0,HNZ
315,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
316,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
317,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
318,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
319,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
320,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
321,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
322,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
323,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
324,../inputs/paz/s6000-2hz.paz,20.0,1.84,SHE
325,../inputs/paz/s6000-2hz.paz,20.0,1.84,SHN
326,../inputs/paz/s6000-2hz.paz,20.0,1.84,SHZ
327,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
328,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
329,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
330,../inputs/paz/cmg-5t.paz,100.0,0.0,HNE
331,../inputs/paz/cmg-5t.paz,100.0,0.0,HNN
332,../inputs/paz/cmg-5t.paz,100.0,0.0,HNZ
333,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
334,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
335,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
336,../inputs/paz/cmg-5t.paz,100.0,0.0,HNE
337,../inputs/paz/cmg-5t.paz,100.0,0.0,HNN
338,../inputs/paz/cmg-5t.paz,100.0,0.0,HNZ
339,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
340,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
341,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
342,../inputs/paz/cmg-5t.paz,100.0,0.0,HNE
343,../inputs/paz/cmg-5t.paz,100.0,0.0,HNN
344,../inputs/paz/cmg-5t.paz,100.0,0.0,HNZ
345,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
346,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
347,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
348,../inputs/paz/willmore.paz,20.0,0.99,SHZ
349,../inputs/paz/willmore.paz,20.0,0.99,SHZ
353,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
